vann,antall_per_ml
Andedam,505
Andedam,430
Andedam,350
Andedam,230
Andedam,305
Andedam,880
Andedam,505
Andedam,430
Andedam,350
Andedam,230
Andedam,305
Andedam,880
Andedam,655
Andedam,455
Andedam,645
Andedam,305
Andedam,350
Andedam,1020
Andedam,935
Andedam,545
Andedam,895
Andedam,780
Andedam,980
Andedam,1020
Andedam,790
Lille Lungegårdsvann,1360
Lille Lungegårdsvann,566
Lille Lungegårdsvann,830
Lille Lungegårdsvann,1110
Lille Lungegårdsvann,480
Lille Lungegårdsvann,643
Lille Lungegårdsvann,430
Lille Lungegårdsvann,1143
Lille Lungegårdsvann,833
Lille Lungegårdsvann,877
Lille Lungegårdsvann,720
Lille Lungegårdsvann,1073
Lille Lungegårdsvann,1230
Lille Lungegårdsvann,603
Lille Lungegårdsvann,1077
Lille Lungegårdsvann,1103
Lille Lungegårdsvann,1370
Lille Lungegårdsvann,810
Lille Lungegårdsvann,460
Lille Lungegårdsvann,1850
Lille Lungegårdsvann,1929
Lille Lungegårdsvann,930
Lille Lungegårdsvann,1334
Lille Lungegårdsvann,1173
Lille Lungegårdsvann,1850
Puddefjorden,127
Puddefjorden,80
Puddefjorden,80
Puddefjorden,113
Puddefjorden,83
Puddefjorden,147
Puddefjorden,117
Puddefjorden,93
Puddefjorden,137
Puddefjorden,147
Puddefjorden,143
Puddefjorden,143
Puddefjorden,153
Puddefjorden,203
Puddefjorden,136
Puddefjorden,260
Puddefjorden,233
Puddefjorden,237
Puddefjorden,137
Puddefjorden,156
Puddefjorden,198
Puddefjorden,203
Puddefjorden,193
Puddefjorden,247
Puddefjorden,210
